FHN Reservoir Digit Classification Results
==================================================
Reservoir: 16 FHN nodes (Watts-Strogatz small-world)
Features: 416 dims (reservoir snapshots + stats + raw pixels)
Train: 3823 samples | Test: 1797 samples
Train accuracy: 99.97%
Test accuracy:  96.33%

Confusion matrix (rows=true, cols=predicted):
         0    1    2    3    4    5    6    7    8    9
  0:   176    0    0    0    0    2    0    0    0    0
  1:     0  180    0    0    0    0    0    0    1    1
  2:     1    1  170    0    1    0    0    0    4    0
  3:     1    0    8  164    0    1    0    6    2    1
  4:     0    1    0    0  180    0    0    0    0    0
  5:     0    0    0    1    1  179    0    0    0    1
  6:     0    0    0    0    3    0  178    0    0    0
  7:     0    0    0    0    1    6    0  169    1    2
  8:     0    5    0    0    0    1    0    0  168    0
  9:     0    1    0    2    3    4    0    0    3  167
